GISJOIN,FIPS,STATE,STATEFP_clean,COUNTY,COUNTY_CLEAN,COUNTYFP_clean,YEAR,POPULATION,AC_ERA,POP_1950,PCT_CHANGE_FROM_1950,REP_STATION,ANN_AVG_TEMP_F,SUMMER_AVG_MAX_F,SUMMER_RH_PCT,COOLING_DEGREE_DAYS,CLIMATE_ZONE
G4500790,45079,South Carolina,45,Richland County,Richland,79,1790,3930,Pre-AC,142565.0,-97.24,"Columbia, SC",64.5,92.3,70,2418,Hot-Humid
G4500830,45083,South Carolina,45,Spartanburg County,Spartanburg,83,1790,8800,Pre-AC,150349.0,-94.15,"Columbia, SC",64.5,92.3,70,2418,Hot-Humid
G4500850,45085,South Carolina,45,Sumter County,Sumter,85,1790,4548,Pre-AC,57634.0,-92.11,"Columbia, SC",64.5,92.3,70,2418,Hot-Humid
G4500870,45087,South Carolina,45,Union County,Union,87,1790,7693,Pre-AC,31334.0,-75.45,"Columbia, SC",64.5,92.3,70,2418,Hot-Humid
G4500910,45091,South Carolina,45,York County,York,91,1790,6604,Pre-AC,71596.0,-90.78,"Columbia, SC",64.5,92.3,70,2418,Hot-Humid
G1300290,13029,Georgia,13,Bryan County,Bryan,29,1800,2836,Pre-AC,5965.0,-52.46,"Atlanta, GA",62.0,89.1,69,1995,Hot-Humid
G1300310,13031,Georgia,13,Bulloch County,Bulloch,31,1800,1913,Pre-AC,24740.0,-92.27,"Atlanta, GA",62.0,89.1,69,1995,Hot-Humid
G1300330,13033,Georgia,13,Burke County,Burke,33,1800,9504,Pre-AC,23458.0,-59.49,"Atlanta, GA",62.0,89.1,69,1995,Hot-Humid
G1300390,13039,Georgia,13,Camden County,Camden,39,1800,1681,Pre-AC,7322.0,-77.04,"Atlanta, GA",62.0,89.1,69,1995,Hot-Humid
G1300510,13051,Georgia,13,Chatham County,Chatham,51,1800,12946,Pre-AC,151481.0,-91.45,"Atlanta, GA",62.0,89.1,69,1995,Hot-Humid
G1300730,13073,Georgia,13,Columbia County,Columbia,73,1800,8345,Pre-AC,9525.0,-12.39,"Atlanta, GA",62.0,89.1,69,1995,Hot-Humid
G1301030,13103,Georgia,13,Effingham County,Effingham,103,1800,2072,Pre-AC,9133.0,-77.31,"Atlanta, GA",62.0,89.1,69,1995,Hot-Humid
G1301050,13105,Georgia,13,Elbert County,Elbert,105,1800,10094,Pre-AC,18585.0,-45.69,"Atlanta, GA",62.0,89.1,69,1995,Hot-Humid
G1301190,13119,Georgia,13,Franklin County,Franklin,119,1800,6859,Pre-AC,14446.0,-52.52,"Atlanta, GA",62.0,89.1,69,1995,Hot-Humid
G1301270,13127,Georgia,13,Glynn County,Glynn,127,1800,1874,Pre-AC,29046.0,-93.55,"Atlanta, GA",62.0,89.1,69,1995,Hot-Humid
G1301330,13133,Georgia,13,Greene County,Greene,133,1800,10761,Pre-AC,12843.0,-16.21,"Atlanta, GA",62.0,89.1,69,1995,Hot-Humid
G1301410,13141,Georgia,13,Hancock County,Hancock,141,1800,14456,Pre-AC,11052.0,30.8,"Atlanta, GA",62.0,89.1,69,1995,Hot-Humid
G1301570,13157,Georgia,13,Jackson County,Jackson,157,1800,7736,Pre-AC,18997.0,-59.28,"Atlanta, GA",62.0,89.1,69,1995,Hot-Humid
G1301630,13163,Georgia,13,Jefferson County,Jefferson,163,1800,5684,Pre-AC,18855.0,-69.85,"Atlanta, GA",62.0,89.1,69,1995,Hot-Humid
G1301790,13179,Georgia,13,Liberty County,Liberty,179,1800,5313,Pre-AC,8444.0,-37.08,"Atlanta, GA",62.0,89.1,69,1995,Hot-Humid
G1301810,13181,Georgia,13,Lincoln County,Lincoln,181,1800,4766,Pre-AC,6462.0,-26.25,"Atlanta, GA",62.0,89.1,69,1995,Hot-Humid
G1301910,13191,Georgia,13,McIntosh County,McIntosh,191,1800,2660,Pre-AC,6008.0,-55.73,"Atlanta, GA",62.0,89.1,69,1995,Hot-Humid
G1302090,13209,Georgia,13,Montgomery County,Montgomery,209,1800,3180,Pre-AC,7901.0,-59.75,"Atlanta, GA",62.0,89.1,69,1995,Hot-Humid
G1302210,13221,Georgia,13,Oglethorpe County,Oglethorpe,221,1800,9780,Pre-AC,9958.0,-1.79,"Atlanta, GA",62.0,89.1,69,1995,Hot-Humid
G1302450,13245,Georgia,13,Richmond County,Richmond,245,1800,5475,Pre-AC,108876.0,-94.97,"Atlanta, GA",62.0,89.1,69,1995,Hot-Humid
G1302510,13251,Georgia,13,Screven County,Screven,251,1800,3019,Pre-AC,18000.0,-83.23,"Atlanta, GA",62.0,89.1,69,1995,Hot-Humid
G1303010,13301,Georgia,13,Warren County,Warren,301,1800,8329,Pre-AC,8779.0,-5.13,"Atlanta, GA",62.0,89.1,69,1995,Hot-Humid
G1303030,13303,Georgia,13,Washington County,Washington,303,1800,10300,Pre-AC,21012.0,-50.98,"Atlanta, GA",62.0,89.1,69,1995,Hot-Humid
G1303170,13317,Georgia,13,Wilkes County,Wilkes,317,1800,13103,Pre-AC,12388.0,5.77,"Atlanta, GA",62.0,89.1,69,1995,Hot-Humid
G3700070,37007,North Carolina,37,Anson County,Anson,7,1800,8146,Pre-AC,26781.0,-69.58,"Raleigh, NC",60.0,88.5,68,1624,Hot-Humid
G3700090,37009,North Carolina,37,Ashe County,Ashe,9,1800,2783,Pre-AC,21878.0,-87.28,"Raleigh, NC",60.0,88.5,68,1624,Hot-Humid
G3700130,37013,North Carolina,37,Beaufort County,Beaufort,13,1800,6242,Pre-AC,37134.0,-83.19,"Raleigh, NC",60.0,88.5,68,1624,Hot-Humid
G3700150,37015,North Carolina,37,Bertie County,Bertie,15,1800,11249,Pre-AC,26439.0,-57.45,"Raleigh, NC",60.0,88.5,68,1624,Hot-Humid
G3700170,37017,North Carolina,37,Bladen County,Bladen,17,1800,7028,Pre-AC,29703.0,-76.34,"Raleigh, NC",60.0,88.5,68,1624,Hot-Humid
G3700190,37019,North Carolina,37,Brunswick County,Brunswick,19,1800,4110,Pre-AC,19238.0,-78.64,"Raleigh, NC",60.0,88.5,68,1624,Hot-Humid
G3700210,37021,North Carolina,37,Buncombe County,Buncombe,21,1800,5812,Pre-AC,124403.0,-95.33,"Raleigh, NC",60.0,88.5,68,1624,Hot-Humid
G3700230,37023,North Carolina,37,Burke County,Burke,23,1800,9929,Pre-AC,45518.0,-78.19,"Raleigh, NC",60.0,88.5,68,1624,Hot-Humid
G3700250,37025,North Carolina,37,Cabarrus County,Cabarrus,25,1800,5094,Pre-AC,63783.0,-92.01,"Raleigh, NC",60.0,88.5,68,1624,Hot-Humid
G3700290,37029,North Carolina,37,Camden County,Camden,29,1800,4191,Pre-AC,5223.0,-19.76,"Raleigh, NC",60.0,88.5,68,1624,Hot-Humid
G3700310,37031,North Carolina,37,Carteret County,Carteret,31,1800,4399,Pre-AC,23059.0,-80.92,"Raleigh, NC",60.0,88.5,68,1624,Hot-Humid
G3700330,37033,North Carolina,37,Caswell County,Caswell,33,1800,8701,Pre-AC,20870.0,-58.31,"Raleigh, NC",60.0,88.5,68,1624,Hot-Humid
G3700370,37037,North Carolina,37,Chatham County,Chatham,37,1800,11861,Pre-AC,25392.0,-53.29,"Raleigh, NC",60.0,88.5,68,1624,Hot-Humid
G3700410,37041,North Carolina,37,Chowan County,Chowan,41,1800,5132,Pre-AC,12540.0,-59.07,"Raleigh, NC",60.0,88.5,68,1624,Hot-Humid
G3700490,37049,North Carolina,37,Craven County,Craven,49,1800,10245,Pre-AC,48823.0,-79.02,"Raleigh, NC",60.0,88.5,68,1624,Hot-Humid
G3700510,37051,North Carolina,37,Cumberland County,Cumberland,51,1800,9264,Pre-AC,96006.0,-90.35,"Raleigh, NC",60.0,88.5,68,1624,Hot-Humid
G3700530,37053,North Carolina,37,Currituck County,Currituck,53,1800,6928,Pre-AC,6201.0,11.72,"Raleigh, NC",60.0,88.5,68,1624,Hot-Humid
G3700610,37061,North Carolina,37,Duplin County,Duplin,61,1800,6796,Pre-AC,41074.0,-83.45,"Raleigh, NC",60.0,88.5,68,1624,Hot-Humid
G3700650,37065,North Carolina,37,Edgecombe County,Edgecombe,65,1800,10421,Pre-AC,51634.0,-79.82,"Raleigh, NC",60.0,88.5,68,1624,Hot-Humid
G3700690,37069,North Carolina,37,Franklin County,Franklin,69,1800,8529,Pre-AC,31341.0,-72.79,"Raleigh, NC",60.0,88.5,68,1624,Hot-Humid
G3700730,37073,North Carolina,37,Gates County,Gates,73,1800,5881,Pre-AC,9555.0,-38.45,"Raleigh, NC",60.0,88.5,68,1624,Hot-Humid
G3700770,37077,North Carolina,37,Granville County,Granville,77,1800,14015,Pre-AC,31793.0,-55.92,"Raleigh, NC",60.0,88.5,68,1624,Hot-Humid
G3700790,37079,North Carolina,37,Greene County,Greene,79,1800,4218,Pre-AC,18024.0,-76.6,"Raleigh, NC",60.0,88.5,68,1624,Hot-Humid
G3700810,37081,North Carolina,37,Guilford County,Guilford,81,1800,9442,Pre-AC,191057.0,-95.06,"Raleigh, NC",60.0,88.5,68,1624,Hot-Humid
G3700830,37083,North Carolina,37,Halifax County,Halifax,83,1800,13945,Pre-AC,58377.0,-76.11,"Raleigh, NC",60.0,88.5,68,1624,Hot-Humid
G3700910,37091,North Carolina,37,Hertford County,Hertford,91,1800,6701,Pre-AC,21453.0,-68.76,"Raleigh, NC",60.0,88.5,68,1624,Hot-Humid
G3700950,37095,North Carolina,37,Hyde County,Hyde,95,1800,4829,Pre-AC,6479.0,-25.47,"Raleigh, NC",60.0,88.5,68,1624,Hot-Humid
G3700970,37097,North Carolina,37,Iredell County,Iredell,97,1800,8856,Pre-AC,56303.0,-84.27,"Raleigh, NC",60.0,88.5,68,1624,Hot-Humid
G3701010,37101,North Carolina,37,Johnston County,Johnston,101,1800,6301,Pre-AC,65906.0,-90.44,"Raleigh, NC",60.0,88.5,68,1624,Hot-Humid
G3701030,37103,North Carolina,37,Jones County,Jones,103,1800,4339,Pre-AC,11004.0,-60.57,"Raleigh, NC",60.0,88.5,68,1624,Hot-Humid
G3701070,37107,North Carolina,37,Lenoir County,Lenoir,107,1800,4005,Pre-AC,45953.0,-91.28,"Raleigh, NC",60.0,88.5,68,1624,Hot-Humid
G3701090,37109,North Carolina,37,Lincoln County,Lincoln,109,1800,12660,Pre-AC,27459.0,-53.89,"Raleigh, NC",60.0,88.5,68,1624,Hot-Humid
G3701170,37117,North Carolina,37,Martin County,Martin,117,1800,5629,Pre-AC,27938.0,-79.85,"Raleigh, NC",60.0,88.5,68,1624,Hot-Humid
G3701190,37119,North Carolina,37,Mecklenburg County,Mecklenburg,119,1800,10439,Pre-AC,197052.0,-94.7,"Raleigh, NC",60.0,88.5,68,1624,Hot-Humid
G3701230,37123,North Carolina,37,Montgomery County,Montgomery,123,1800,7677,Pre-AC,17260.0,-55.52,"Raleigh, NC",60.0,88.5,68,1624,Hot-Humid
G3701250,37125,North Carolina,37,Moore County,Moore,125,1800,4767,Pre-AC,33129.0,-85.61,"Raleigh, NC",60.0,88.5,68,1624,Hot-Humid
G3701270,37127,North Carolina,37,Nash County,Nash,127,1800,6975,Pre-AC,59919.0,-88.36,"Raleigh, NC",60.0,88.5,68,1624,Hot-Humid
G3701290,37129,North Carolina,37,New Hanover County,New Hanover,129,1800,7060,Pre-AC,63272.0,-88.84,"Raleigh, NC",60.0,88.5,68,1624,Hot-Humid
G3701310,37131,North Carolina,37,Northampton County,Northampton,131,1800,12353,Pre-AC,28432.0,-56.55,"Raleigh, NC",60.0,88.5,68,1624,Hot-Humid
G3701330,37133,North Carolina,37,Onslow County,Onslow,133,1800,5623,Pre-AC,42047.0,-86.63,"Raleigh, NC",60.0,88.5,68,1624,Hot-Humid
G3701350,37135,North Carolina,37,Orange County,Orange,135,1800,16362,Pre-AC,34435.0,-52.48,"Raleigh, NC",60.0,88.5,68,1624,Hot-Humid
G3701390,37139,North Carolina,37,Pasquotank County,Pasquotank,139,1800,5379,Pre-AC,24347.0,-77.91,"Raleigh, NC",60.0,88.5,68,1624,Hot-Humid
G3701430,37143,North Carolina,37,Perquimans County,Perquimans,143,1800,5708,Pre-AC,9602.0,-40.55,"Raleigh, NC",60.0,88.5,68,1624,Hot-Humid
G3701450,37145,North Carolina,37,Person County,Person,145,1800,6402,Pre-AC,24361.0,-73.72,"Raleigh, NC",60.0,88.5,68,1624,Hot-Humid
G3701470,37147,North Carolina,37,Pitt County,Pitt,147,1800,9084,Pre-AC,63789.0,-85.76,"Raleigh, NC",60.0,88.5,68,1624,Hot-Humid
G3701510,37151,North Carolina,37,Randolph County,Randolph,151,1800,9234,Pre-AC,50804.0,-81.82,"Raleigh, NC",60.0,88.5,68,1624,Hot-Humid
G3701530,37153,North Carolina,37,Richmond County,Richmond,153,1800,5623,Pre-AC,39597.0,-85.8,"Raleigh, NC",60.0,88.5,68,1624,Hot-Humid
G3701550,37155,North Carolina,37,Robeson County,Robeson,155,1800,6839,Pre-AC,87769.0,-92.21,"Raleigh, NC",60.0,88.5,68,1624,Hot-Humid
G3701570,37157,North Carolina,37,Rockingham County,Rockingham,157,1800,8277,Pre-AC,64816.0,-87.23,"Raleigh, NC",60.0,88.5,68,1624,Hot-Humid
G3701590,37159,North Carolina,37,Rowan County,Rowan,159,1800,20060,Pre-AC,75410.0,-73.4,"Raleigh, NC",60.0,88.5,68,1624,Hot-Humid
G3701610,37161,North Carolina,37,Rutherford County,Rutherford,161,1800,10753,Pre-AC,46356.0,-76.8,"Raleigh, NC",60.0,88.5,68,1624,Hot-Humid
G3701630,37163,North Carolina,37,Sampson County,Sampson,163,1800,6719,Pre-AC,49780.0,-86.5,"Raleigh, NC",60.0,88.5,68,1624,Hot-Humid
G3701690,37169,North Carolina,37,Stokes County,Stokes,169,1800,11026,Pre-AC,21520.0,-48.76,"Raleigh, NC",60.0,88.5,68,1624,Hot-Humid
